Ref,Val,Package,PosX,PosY,Rot,Side
"C7","0.1μ","C_0603_1608Metric",117.316000,-98.031000,90.000000,bottom
"C8","4.7μ","C_0603_1608Metric",115.538000,-98.031000,90.000000,bottom
"C9","4.7μ","C_0603_1608Metric",111.982000,-98.031000,-90.000000,bottom
"H1","MountingHole","786140x0x60",85.010000,-132.160000,180.000000,bottom
"H2","MountingHole","786140x0x60",85.010000,-76.120000,180.000000,bottom
"H3","MountingHole","786140x0x60",229.950000,-76.120000,180.000000,bottom
"H4","MountingHole","786140x0x60",229.950000,-132.160000,180.000000,bottom
"L2","1μ","L_0603_1608Metric",113.760000,-98.005500,90.000000,bottom
